CafeSaleID,BranchID,ProductID,SaleDate,Quantity,Revenue
480054,B00195,PR0006,2027-06-08,5,175.31
480055,B00007,PR0011,2027-08-29,5,314.55
480056,B00304,PR0009,2027-07-10,4,184.18
480057,B00313,PR0015,2027-11-20,1,15.97
480058,B00438,PR0010,2027-10-25,5,325.83
480059,B00119,PR0008,2027-03-11,6,347.72
480060,B00456,PR0010,2027-11-08,2,134.23
480061,B00385,PR0004,2027-01-08,2,82.32
480062,B00294,PR0015,2027-09-30,2,31.51
480063,B00302,PR0005,2027-02-20,6,370.72
480064,B00008,PR0005,2027-02-04,5,310.43
480065,B00033,PR0011,2027-06-26,5,300.38
480066,B00083,PR0015,2027-06-17,3,46.5
480067,B00192,PR0009,2027-03-11,4,184.6
480068,B00138,PR0007,2027-05-10,4,232.17
480069,B00016,PR0015,2027-11-29,1,15.25
480070,B00305,PR0011,2027-03-21,6,379.26
480071,B00199,PR0010,2027-09-04,6,415.23
480072,B00065,PR0009,2027-11-03,2,94.1
480073,B00357,PR0011,2027-11-26,6,375.87
480074,B00129,PR0003,2027-10-13,6,345.01
480075,B00032,PR0007,2027-12-27,6,337.6
480076,B00291,PR0001,2027-04-18,3,143.03
480077,B00193,PR0009,2027-12-25,3,135.95
480078,B00367,PR0016,2027-07-23,3,113.15
480079,B00017,PR0010,2027-05-23,1,66.68
480080,B00417,PR0005,2027-01-08,1,64.69
480081,B00330,PR0010,2027-08-22,1,68.73
480082,B00188,PR0003,2027-02-05,5,288.23
480083,B00071,PR0011,2027-10-21,1,62.35
480084,B00412,PR0002,2027-10-07,6,354.93
480085,B00102,PR0001,2027-05-07,4,191.25
480086,B00194,PR0009,2027-01-05,1,47.61
480087,B00344,PR0011,2027-01-25,5,304.18
480088,B00382,PR0016,2027-05-15,4,144.52
480089,B00291,PR0016,2027-09-20,6,219.73
480090,B00118,PR0009,2027-07-06,1,45.01
480091,B00430,PR0009,2027-12-19,4,185.12
480092,B00156,PR0012,2027-06-09,2,143.55
480093,B00296,PR0001,2027-10-15,6,274.95
480094,B00352,PR0001,2027-05-13,5,237.59
480095,B00077,PR0012,2027-05-18,2,144.48
480096,B00423,PR0010,2027-03-24,6,409.05
480097,B00139,PR0010,2027-12-04,2,140.09
480098,B00444,PR0009,2027-05-14,3,145.38
480099,B00264,PR0008,2027-08-06,6,351.59
480100,B00062,PR0016,2027-06-22,5,183.51
480101,B00181,PR0005,2027-11-07,6,375.52
480102,B00411,PR0006,2027-12-06,1,35.94
480103,B00088,PR0004,2027-09-26,6,246.29
480104,B00032,PR0016,2027-09-10,6,219.97
480105,B00315,PR0002,2027-10-23,4,233.39
480106,B00144,PR0008,2027-11-12,4,227.02
480107,B00448,PR0007,2027-11-12,2,116.07
480108,B00345,PR0009,2027-04-11,4,192.48
480109,B00462,PR0008,2027-09-13,1,58.55
480110,B00342,PR0004,2027-07-09,1,41.95
480111,B00315,PR0008,2027-10-08,5,285.64
480112,B00131,PR0016,2027-03-27,5,177.3
480113,B00324,PR0001,2027-08-06,2,90.87
480114,B00254,PR0003,2027-11-20,3,174.85
480115,B00117,PR0011,2027-07-10,6,380.92
480116,B00435,PR0003,2027-11-21,6,344.32
480117,B00220,PR0010,2027-03-13,4,272.74
480118,B00162,PR0002,2027-02-04,3,174.08
480119,B00379,PR0005,2027-01-08,4,245.08
480120,B00454,PR0002,2027-09-12,6,330.01
480121,B00159,PR0011,2027-04-15,2,127.43
480122,B00091,PR0015,2027-05-11,6,90.59
480123,B00113,PR0001,2027-11-15,6,272.24
480124,B00340,PR0006,2027-04-22,4,147.37
480125,B00252,PR0004,2027-05-15,1,41.02
480126,B00283,PR0010,2027-09-14,2,139.5
480127,B00121,PR0007,2027-01-04,5,285.44
480128,B00113,PR0006,2027-08-18,1,35.68
480129,B00050,PR0008,2027-03-08,6,335.01
480130,B00378,PR0002,2027-01-17,1,58.44
480131,B00351,PR0016,2027-10-14,3,107.94
480132,B00132,PR0008,2027-06-11,2,114.86
480133,B00051,PR0015,2027-09-21,5,78.0
480134,B00045,PR0006,2027-08-26,6,210.02
480135,B00094,PR0009,2027-10-10,6,287.83
480136,B00115,PR0011,2027-05-23,1,62.73
480137,B00330,PR0009,2027-01-06,1,47.28
480138,B00415,PR0003,2027-09-05,1,58.9
480139,B00066,PR0015,2027-05-27,3,45.51
480140,B00379,PR0008,2027-01-27,2,117.86
480141,B00054,PR0010,2027-01-06,6,403.03
480142,B00255,PR0003,2027-08-19,2,110.35
480143,B00192,PR0011,2027-02-22,3,188.38
480144,B00116,PR0006,2027-04-14,1,35.35
480145,B00120,PR0003,2027-02-19,2,117.47
480146,B00146,PR0007,2027-07-15,1,57.67
480147,B00108,PR0005,2027-08-20,3,182.55
480148,B00318,PR0006,2027-08-18,1,36.73
480149,B00418,PR0016,2027-02-04,2,71.9
480150,B00053,PR0011,2027-12-10,2,127.32
480151,B00460,PR0003,2027-01-06,3,171.77
480152,B00434,PR0004,2027-11-01,4,171.39
480153,B00175,PR0012,2027-08-09,2,145.21
480154,B00122,PR0016,2027-11-24,3,111.9
480155,B00193,PR0015,2027-02-04,4,64.61
480156,B00061,PR0010,2027-10-28,1,68.12
480157,B00448,PR0005,2027-10-10,4,255.69
480158,B00054,PR0006,2027-07-27,1,36.69
480159,B00235,PR0016,2027-09-19,5,178.5
480160,B00457,PR0010,2027-01-19,4,266.47
480161,B00431,PR0008,2027-06-23,2,114.38
480162,B00158,PR0016,2027-07-15,2,74.94
480163,B00430,PR0016,2027-06-30,6,216.28
480164,B00348,PR0001,2027-10-02,4,184.34
480165,B00326,PR0008,2027-02-12,2,114.13
480166,B00034,PR0015,2027-10-20,5,78.31
480167,B00122,PR0006,2027-12-15,1,35.3
480168,B00075,PR0002,2027-11-11,1,55.66
480169,B00168,PR0012,2027-04-11,2,145.89
480170,B00155,PR0008,2027-06-18,1,56.76
480171,B00166,PR0003,2027-08-09,3,172.67
480172,B00228,PR0010,2027-06-03,4,276.61
480173,B00182,PR0004,2027-04-16,1,40.85
480174,B00095,PR0006,2027-12-14,6,215.35
480175,B00264,PR0012,2027-11-17,6,449.49
480176,B00160,PR0016,2027-02-17,5,182.68
480177,B00279,PR0005,2027-10-18,2,123.46
480178,B00017,PR0009,2027-11-02,4,180.31
480179,B00443,PR0008,2027-04-30,6,335.39
480180,B00061,PR0012,2027-07-26,3,211.69
480181,B00206,PR0010,2027-01-29,4,275.13
480182,B00076,PR0001,2027-09-08,6,271.51
480183,B00316,PR0012,2027-01-12,3,215.99
480184,B00427,PR0003,2027-05-19,1,58.07
480185,B00456,PR0004,2027-07-14,2,85.81
480186,B00242,PR0001,2027-04-02,2,90.37
480187,B00070,PR0011,2027-04-12,2,127.62
480188,B00367,PR0006,2027-04-22,4,140.7
480189,B00345,PR0004,2027-10-14,5,213.3
480190,B00015,PR0004,2027-03-25,1,40.87
480191,B00012,PR0006,2027-04-13,5,185.03
480192,B00123,PR0010,2027-10-03,4,274.32
480193,B00275,PR0015,2027-01-10,5,75.4
480194,B00013,PR0015,2027-05-01,3,46.0
480195,B00058,PR0004,2027-09-09,6,253.47
480196,B00246,PR0007,2027-09-25,4,222.01
480197,B00011,PR0016,2027-07-14,3,106.08
480198,B00219,PR0001,2027-04-05,4,193.34
480199,B00291,PR0012,2027-08-01,1,71.46
480200,B00126,PR0005,2027-09-07,4,247.55
480201,B00164,PR0001,2027-02-01,3,144.47
480202,B00420,PR0016,2027-01-23,6,224.47
480203,B00362,PR0010,2027-12-10,6,414.21
480204,B00043,PR0006,2027-07-11,5,182.32
480205,B00431,PR0006,2027-03-09,4,147.25
480206,B00140,PR0005,2027-08-27,5,313.67
480207,B00264,PR0009,2027-01-08,3,138.76
480208,B00051,PR0016,2027-11-17,4,140.71
480209,B00458,PR0008,2027-06-30,1,58.73
480210,B00291,PR0004,2027-07-06,4,167.08
480211,B00304,PR0011,2027-10-12,5,313.94
480212,B00096,PR0010,2027-05-26,5,341.59
480213,B00381,PR0006,2027-06-08,6,223.58
480214,B00046,PR0011,2027-04-01,6,377.1
480215,B00236,PR0011,2027-10-30,4,244.54
480216,B00155,PR0001,2027-09-11,2,95.57
480217,B00156,PR0015,2027-10-09,5,77.84
480218,B00413,PR0012,2027-02-27,5,357.71
480219,B00385,PR0016,2027-02-08,2,74.5
480220,B00095,PR0006,2027-11-17,1,35.59
480221,B00054,PR0015,2027-03-16,1,15.12
480222,B00208,PR0011,2027-11-12,1,64.33
480223,B00178,PR0015,2027-02-15,6,90.91
480224,B00075,PR0016,2027-10-01,3,105.68
480225,B00026,PR0007,2027-08-19,3,170.84
480226,B00438,PR0001,2027-10-13,5,226.82
480227,B00367,PR0001,2027-09-18,5,242.4
480228,B00195,PR0002,2027-04-13,3,170.39
480229,B00203,PR0007,2027-07-07,6,331.35
480230,B00169,PR0001,2027-05-23,4,184.8
480231,B00069,PR0011,2027-05-15,5,301.98
480232,B00021,PR0001,2027-07-10,1,46.56
480233,B00087,PR0015,2027-10-18,5,78.54
480234,B00378,PR0015,2027-06-18,2,32.28
480235,B00383,PR0009,2027-08-23,6,271.86
480236,B00021,PR0012,2027-01-17,5,356.47
480237,B00225,PR0006,2027-04-15,5,187.63
480238,B00426,PR0010,2027-08-28,3,209.48
480239,B00327,PR0010,2027-05-06,4,262.67
480240,B00223,PR0011,2027-01-29,3,180.63
480241,B00116,PR0006,2027-02-10,3,110.05
480242,B00124,PR0016,2027-09-14,4,147.77
480243,B00039,PR0002,2027-12-08,2,117.3
480244,B00082,PR0007,2027-08-28,1,56.92
480245,B00107,PR0010,2027-08-18,4,269.51
480246,B00350,PR0004,2027-11-16,3,126.04
480247,B00233,PR0016,2027-05-31,4,146.6
480248,B00041,PR0004,2027-05-14,5,200.29
480249,B00160,PR0006,2027-12-23,3,112.5
480250,B00010,PR0016,2027-09-05,4,148.48
480251,B00423,PR0011,2027-04-11,3,181.34
480252,B00433,PR0002,2027-11-18,6,346.13
480253,B00162,PR0003,2027-02-09,6,348.51
480254,B00417,PR0012,2027-05-07,4,295.48
480255,B00333,PR0006,2027-12-22,6,220.9
480256,B00003,PR0011,2027-09-29,6,372.47
480257,B00315,PR0003,2027-05-14,5,278.11
480258,B00278,PR0011,2027-01-12,4,251.34
480259,B00114,PR0004,2027-07-14,4,169.64
480260,B00186,PR0010,2027-02-03,5,331.52
480261,B00213,PR0016,2027-02-24,5,187.88
480262,B00103,PR0002,2027-03-28,4,227.83
480263,B00067,PR0015,2027-08-31,2,30.12
480264,B00287,PR0006,2027-01-22,5,183.17
480265,B00261,PR0011,2027-06-03,4,240.15
480266,B00258,PR0004,2027-09-06,3,120.25
480267,B00424,PR0009,2027-07-22,6,277.22
480268,B00152,PR0005,2027-05-26,2,127.58
480269,B00098,PR0006,2027-01-07,6,223.51
480270,B00367,PR0007,2027-07-11,5,282.51
480271,B00189,PR0005,2027-02-11,6,370.51
480272,B00209,PR0007,2027-02-05,6,339.91
480273,B00253,PR0002,2027-06-24,3,166.04
480274,B00238,PR0010,2027-09-05,5,338.84
480275,B00364,PR0008,2027-10-26,5,284.72
480276,B00011,PR0012,2027-01-24,6,427.76
480277,B00302,PR0015,2027-10-05,3,48.21
480278,B00192,PR0006,2027-09-27,5,181.6
480279,B00200,PR0003,2027-04-26,2,113.46
480280,B00408,PR0002,2027-12-22,1,58.85
480281,B00032,PR0010,2027-12-24,6,409.79
480282,B00179,PR0010,2027-10-07,3,208.79
480283,B00113,PR0008,2027-01-15,4,230.1
480284,B00427,PR0005,2027-12-05,1,60.8
480285,B00379,PR0001,2027-01-03,4,190.31
480286,B00143,PR0007,2027-03-03,4,230.47
480287,B00176,PR0006,2027-07-02,3,113.35
480288,B00010,PR0004,2027-11-21,1,41.96
480289,B00024,PR0007,2027-10-21,1,56.86
480290,B00253,PR0016,2027-12-24,5,182.24
480291,B00103,PR0009,2027-05-01,3,141.37
480292,B00271,PR0001,2027-04-22,1,46.23
480293,B00126,PR0011,2027-06-30,5,303.35
480294,B00303,PR0012,2027-06-14,3,221.99
480295,B00056,PR0012,2027-07-14,2,147.64
480296,B00223,PR0003,2027-02-18,2,117.75
480297,B00463,PR0008,2027-12-09,4,234.63
480298,B00456,PR0001,2027-07-15,6,287.46
480299,B00449,PR0011,2027-12-01,1,62.99
480300,B00291,PR0005,2027-02-26,1,60.66
480301,B00065,PR0001,2027-05-29,2,95.08
480302,B00419,PR0011,2027-01-15,1,62.79
480303,B00165,PR0003,2027-10-25,5,294.67
480304,B00206,PR0006,2027-10-28,5,179.15
480305,B00005,PR0012,2027-11-07,2,144.52
480306,B00041,PR0010,2027-09-15,3,203.41
480307,B00368,PR0003,2027-06-29,2,118.25
480308,B00136,PR0006,2027-12-14,3,107.21
480309,B00119,PR0008,2027-08-20,2,116.18
480310,B00409,PR0002,2027-04-29,5,284.94
480311,B00347,PR0010,2027-02-18,1,66.2
480312,B00243,PR0003,2027-10-22,1,55.39
480313,B00268,PR0001,2027-01-23,3,140.93
480314,B00210,PR0007,2027-10-04,6,355.02
480315,B00095,PR0003,2027-11-20,5,287.44
480316,B00435,PR0005,2027-04-05,3,188.84
480317,B00459,PR0002,2027-11-06,1,56.91
480318,B00128,PR0010,2027-02-10,5,345.39
480319,B00062,PR0002,2027-05-04,6,336.97
480320,B00205,PR0002,2027-12-27,4,233.04
480321,B00461,PR0009,2027-06-16,3,143.63
480322,B00379,PR0010,2027-07-05,6,393.76
480323,B00260,PR0010,2027-03-24,1,66.41
480324,B00457,PR0015,2027-10-27,5,75.55
480325,B00320,PR0006,2027-02-22,2,73.3
480326,B00461,PR0012,2027-03-04,6,442.43
480327,B00296,PR0005,2027-02-06,1,64.05
480328,B00238,PR0015,2027-07-08,6,92.63
480329,B00276,PR0015,2027-06-22,5,79.06
480330,B00293,PR0011,2027-11-12,2,126.61
480331,B00241,PR0010,2027-07-09,6,409.27
480332,B00270,PR0010,2027-05-08,5,349.88
480333,B00013,PR0006,2027-06-05,1,35.37
480334,B00417,PR0001,2027-11-24,1,45.22
480335,B00058,PR0010,2027-12-18,2,135.24
480336,B00109,PR0003,2027-11-13,3,178.04
480337,B00301,PR0004,2027-09-11,3,129.29
480338,B00290,PR0015,2027-05-22,2,30.45
480339,B00210,PR0009,2027-10-23,1,46.51
480340,B00156,PR0005,2027-04-02,1,63.22
480341,B00260,PR0016,2027-09-05,3,111.52
480342,B00435,PR0011,2027-11-07,4,252.63
480343,B00083,PR0009,2027-05-31,5,242.81
480344,B00022,PR0008,2027-09-25,3,178.13
480345,B00046,PR0003,2027-02-14,4,224.91
480346,B00259,PR0003,2027-03-29,3,171.16
480347,B00068,PR0008,2027-07-26,5,282.5
480348,B00216,PR0005,2027-11-02,6,380.65
480349,B00459,PR0004,2027-06-08,1,42.35
480350,B00283,PR0007,2027-10-22,6,344.38
480351,B00423,PR0004,2027-01-16,3,129.26
480352,B00144,PR0005,2027-04-28,2,121.84
480353,B00036,PR0011,2027-02-24,2,122.55
480354,B00047,PR0003,2027-09-15,1,58.1
480355,B00112,PR0007,2027-11-30,5,281.61
480356,B00229,PR0003,2027-05-19,3,172.07
480357,B00067,PR0015,2027-08-05,6,90.98
480358,B00098,PR0009,2027-12-01,1,47.9
480359,B00195,PR0011,2027-04-14,6,368.29
480360,B00218,PR0011,2027-07-05,5,305.03
480361,B00037,PR0010,2027-02-13,2,131.24
480362,B00183,PR0002,2027-12-01,3,174.37
480363,B00157,PR0009,2027-10-16,6,275.45
480364,B00365,PR0003,2027-08-23,5,282.29
480365,B00141,PR0001,2027-07-14,2,96.19
480366,B00310,PR0004,2027-12-06,4,171.78
480367,B00458,PR0011,2027-08-04,1,62.42
480368,B00136,PR0007,2027-12-17,1,59.39
480369,B00140,PR0012,2027-09-11,3,223.73
480370,B00367,PR0015,2027-01-18,4,61.54
480371,B00162,PR0006,2027-05-11,1,37.68
480372,B00286,PR0015,2027-10-25,3,47.83
480373,B00167,PR0016,2027-08-19,2,70.12
480374,B00013,PR0004,2027-04-06,2,83.63
480375,B00164,PR0010,2027-08-10,4,264.8
480376,B00220,PR0012,2027-10-18,2,148.01
480377,B00195,PR0006,2027-10-08,1,35.21
480378,B00017,PR0015,2027-03-15,3,47.61
480379,B00353,PR0003,2027-01-09,3,165.83
480380,B00061,PR0007,2027-03-31,1,55.44
480381,B00231,PR0004,2027-08-23,1,40.31
480382,B00438,PR0010,2027-02-12,1,65.79
480383,B00222,PR0008,2027-12-04,1,56.32
480384,B00274,PR0012,2027-01-06,4,298.79
480385,B00185,PR0015,2027-04-08,5,78.81
480386,B00348,PR0005,2027-07-30,6,386.28
480387,B00194,PR0009,2027-08-31,5,228.14
480388,B00253,PR0002,2027-05-20,2,115.96
480389,B00193,PR0006,2027-05-02,1,35.61
480390,B00217,PR0016,2027-03-01,2,73.42
480391,B00251,PR0005,2027-04-14,2,127.76
480392,B00290,PR0012,2027-05-09,4,296.05
480393,B00216,PR0008,2027-07-01,3,177.92
480394,B00090,PR0011,2027-07-25,5,300.32
480395,B00063,PR0006,2027-07-31,2,72.84
480396,B00200,PR0007,2027-10-14,6,332.51
480397,B00205,PR0003,2027-05-15,3,165.66
480398,B00459,PR0004,2027-10-09,6,254.06
480399,B00180,PR0015,2027-03-29,2,31.48
480400,B00147,PR0002,2027-02-25,3,171.89
480401,B00416,PR0003,2027-06-24,6,352.52
480402,B00125,PR0007,2027-10-21,5,281.68
480403,B00036,PR0010,2027-01-09,5,342.47
480404,B00144,PR0009,2027-06-04,6,276.87
480405,B00111,PR0010,2027-12-21,5,346.26
480406,B00194,PR0004,2027-02-12,6,250.98
480407,B00438,PR0009,2027-03-14,3,140.24
480408,B00426,PR0010,2027-01-16,4,268.81
480409,B00427,PR0005,2027-04-02,2,127.09
480410,B00111,PR0015,2027-12-13,5,80.42
480411,B00083,PR0012,2027-08-07,2,147.67
480412,B00080,PR0016,2027-04-03,1,35.66
480413,B00140,PR0007,2027-04-30,4,225.9
480414,B00165,PR0001,2027-09-28,6,270.77
480415,B00036,PR0011,2027-04-14,6,382.18
480416,B00088,PR0012,2027-04-06,1,71.77
480417,B00382,PR0012,2027-02-27,6,436.2
480418,B00205,PR0006,2027-10-10,4,149.71
480419,B00119,PR0006,2027-10-28,1,36.57
480420,B00217,PR0003,2027-03-14,4,225.21
480421,B00010,PR0012,2027-04-24,3,226.48
480422,B00055,PR0003,2027-11-04,1,56.17
480423,B00317,PR0006,2027-01-18,4,150.46
480424,B00135,PR0011,2027-10-22,2,120.08
480425,B00440,PR0002,2027-10-24,5,295.88
480426,B00321,PR0005,2027-02-04,4,253.18
480427,B00058,PR0005,2027-08-30,1,62.53
480428,B00104,PR0015,2027-07-15,6,90.38
480429,B00332,PR0015,2027-12-23,1,15.3
480430,B00044,PR0002,2027-09-29,5,296.36
480431,B00417,PR0005,2027-07-04,3,193.17
480432,B00073,PR0005,2027-11-12,2,122.63
480433,B00039,PR0010,2027-03-25,1,69.8
480434,B00185,PR0004,2027-10-21,3,128.24
480435,B00008,PR0001,2027-11-24,3,138.84
480436,B00260,PR0007,2027-03-04,2,112.67
480437,B00277,PR0009,2027-08-07,2,96.61
480438,B00112,PR0016,2027-03-18,4,148.78
480439,B00023,PR0003,2027-07-12,4,236.78
480440,B00120,PR0012,2027-03-31,5,374.69
480441,B00384,PR0015,2027-10-31,4,63.24
480442,B00040,PR0005,2027-11-07,5,321.15
480443,B00269,PR0006,2027-05-18,2,70.28
480444,B00264,PR0011,2027-01-28,6,361.65
480445,B00010,PR0004,2027-12-06,2,82.27
480446,B00025,PR0015,2027-08-06,6,92.5
480447,B00033,PR0004,2027-04-30,5,210.67
480448,B00072,PR0005,2027-06-17,2,127.19
480449,B00106,PR0002,2027-10-31,5,295.65
480450,B00256,PR0009,2027-09-13,4,188.21
480451,B00316,PR0005,2027-01-12,6,380.51
480452,B00165,PR0010,2027-01-01,1,65.37
480453,B00089,PR0002,2027-12-11,6,353.09
480454,B00241,PR0016,2027-03-07,5,182.93
480455,B00446,PR0011,2027-03-09,5,322.11
480456,B00378,PR0008,2027-07-11,3,169.64
480457,B00007,PR0016,2027-07-29,1,37.63
480458,B00071,PR0003,2027-02-19,4,220.19
480459,B00053,PR0001,2027-12-28,5,229.04
480460,B00276,PR0009,2027-08-05,6,284.36
480461,B00084,PR0012,2027-11-07,5,360.53
480462,B00439,PR0007,2027-04-11,6,344.95
480463,B00383,PR0011,2027-04-06,1,64.44
480464,B00016,PR0006,2027-11-04,1,37.13
480465,B00103,PR0009,2027-11-27,1,46.28
480466,B00128,PR0003,2027-12-10,1,59.25
480467,B00291,PR0002,2027-01-05,3,167.21
480468,B00015,PR0010,2027-09-01,5,328.56
480469,B00423,PR0001,2027-11-28,1,48.27
480470,B00090,PR0002,2027-08-10,3,167.88
480471,B00030,PR0007,2027-12-21,1,55.09
480472,B00108,PR0003,2027-01-07,5,281.01
480473,B00185,PR0016,2027-05-20,5,187.32
480474,B00213,PR0008,2027-05-20,3,173.69
480475,B00462,PR0010,2027-01-01,5,336.24
480476,B00201,PR0006,2027-08-23,2,74.92
480477,B00066,PR0008,2027-08-16,3,167.35
480478,B00027,PR0006,2027-06-11,6,212.01
480479,B00195,PR0010,2027-07-13,4,271.5
480480,B00111,PR0003,2027-07-12,2,114.61
480481,B00439,PR0002,2027-01-09,2,115.33
480482,B00211,PR0009,2027-07-08,5,241.39
480483,B00203,PR0009,2027-12-12,3,145.21
480484,B00001,PR0006,2027-08-15,2,74.74
480485,B00436,PR0006,2027-10-16,3,106.82
480486,B00148,PR0010,2027-08-19,1,66.84
480487,B00204,PR0007,2027-03-23,4,235.1
480488,B00112,PR0005,2027-06-26,6,384.5
480489,B00384,PR0003,2027-12-14,1,55.22
480490,B00101,PR0004,2027-12-20,5,213.42
480491,B00121,PR0010,2027-02-15,6,420.74
480492,B00259,PR0005,2027-07-24,1,60.42
480493,B00251,PR0002,2027-08-21,1,57.62
480494,B00257,PR0010,2027-10-19,1,68.1
480495,B00260,PR0009,2027-12-03,1,46.21
480496,B00114,PR0008,2027-02-07,1,55.26
480497,B00108,PR0010,2027-03-17,5,342.49
480498,B00373,PR0009,2027-03-30,6,287.79
480499,B00079,PR0002,2027-06-08,3,166.61
480500,B00087,PR0011,2027-02-21,6,383.51
480501,B00300,PR0009,2027-10-12,1,45.83
480502,B00461,PR0005,2027-04-06,3,185.59
480503,B00018,PR0001,2027-07-12,6,284.67
480504,B00145,PR0005,2027-11-22,1,60.98
480505,B00453,PR0003,2027-03-08,3,177.67
480506,B00229,PR0001,2027-12-04,4,182.07
480507,B00151,PR0012,2027-03-17,1,72.34
480508,B00098,PR0016,2027-05-09,5,176.43
480509,B00227,PR0012,2027-10-05,3,226.05
480510,B00111,PR0015,2027-03-17,2,32.27
480511,B00060,PR0015,2027-01-02,1,15.25
480512,B00352,PR0010,2027-10-09,3,207.12
480513,B00163,PR0004,2027-08-25,1,40.28
480514,B00101,PR0010,2027-10-14,5,338.65
480515,B00216,PR0011,2027-01-24,4,244.14
480516,B00069,PR0002,2027-02-16,1,56.34
480517,B00075,PR0015,2027-03-22,4,64.43
480518,B00382,PR0010,2027-03-28,5,334.36
480519,B00247,PR0003,2027-01-30,6,348.89
480520,B00139,PR0006,2027-06-01,2,72.69
480521,B00044,PR0005,2027-03-10,2,128.87
480522,B00123,PR0007,2027-09-24,4,229.55
480523,B00041,PR0009,2027-09-14,2,95.6
480524,B00383,PR0007,2027-03-08,6,349.48
480525,B00221,PR0004,2027-10-29,5,215.28
480526,B00264,PR0010,2027-07-01,4,278.41
480527,B00172,PR0004,2027-01-13,1,42.93
480528,B00356,PR0001,2027-02-03,6,285.01
480529,B00462,PR0011,2027-11-17,1,64.2
480530,B00272,PR0011,2027-02-13,4,241.44
480531,B00424,PR0012,2027-11-04,1,70.52
480532,B00275,PR0011,2027-11-02,5,323.07
480533,B00007,PR0016,2027-09-28,3,107.85
480534,B00439,PR0012,2027-08-28,5,377.89
480535,B00421,PR0007,2027-08-24,5,296.51
480536,B00366,PR0016,2027-06-15,3,108.94
480537,B00053,PR0004,2027-11-30,6,246.71
480538,B00203,PR0016,2027-10-03,3,106.25
480539,B00037,PR0004,2027-03-18,2,80.02
480540,B00262,PR0005,2027-09-11,6,369.69
480541,B00200,PR0008,2027-09-19,1,57.65
480542,B00101,PR0006,2027-01-28,5,176.42
480543,B00138,PR0002,2027-11-17,4,233.73
480544,B00446,PR0004,2027-09-07,1,40.71
480545,B00165,PR0003,2027-07-22,4,229.45
480546,B00099,PR0001,2027-07-25,1,46.15
480547,B00137,PR0009,2027-07-17,3,144.93
480548,B00459,PR0005,2027-12-19,5,314.11
480549,B00204,PR0005,2027-03-24,2,124.46
480550,B00295,PR0010,2027-01-31,5,338.39
480551,B00034,PR0007,2027-08-08,5,278.67
480552,B00209,PR0002,2027-10-04,1,55.27
480553,B00175,PR0006,2027-07-28,5,184.7
480554,B00193,PR0010,2027-04-28,2,138.07
480555,B00063,PR0003,2027-12-21,4,235.44
480556,B00365,PR0004,2027-08-21,2,80.66
480557,B00369,PR0010,2027-06-05,3,201.99
